[2024-12-05 02:23:44,877]    INFO - Request: 'GET /api/v1/top/mangas/ HTTP/1.1' 404 28 B 4.6 ms
[2024-12-05 02:23:44,878]    WARNING - Not Found: /api/v1/top/mangas/
[2024-12-05 02:23:45,647]    INFO - Request: 'GET /api/v1/top/characters/ HTTP/1.1' 200 644 B 16.0 ms
[2024-12-05 02:23:45,663]    INFO - Request: 'GET /api/v1/top/characters/ HTTP/1.1' 404 32 B 5.0 ms
[2024-12-05 02:23:45,664]    WARNING - Not Found: /api/v1/top/characters/
[2024-12-05 02:23:45,731]    INFO - Request: 'GET /api/v1/top/artists/ HTTP/1.1' 200 575 B 20.1 ms
[2024-12-05 02:23:45,754]    INFO - Request: 'GET /api/v1/top/artists/ HTTP/1.1' 404 30 B 8.5 ms
[2024-12-05 02:23:45,755]    WARNING - Not Found: /api/v1/top/artists/
[2024-12-05 02:23:46,561]    INFO - Request: 'GET /api/v1/top/reviews/ HTTP/1.1' 200 796 B 20.1 ms
[2024-12-05 02:23:46,576]    INFO - Request: 'GET /api/v1/top/reviews/ HTTP/1.1' 404 30 B 4.6 ms
[2024-12-05 02:23:46,576]    WARNING - Not Found: /api/v1/top/reviews/
[2024-12-05 02:27:51,016]    INFO - Request: 'GET /api/v1/animes/ HTTP/1.1' 200 418 B 27.6 ms
[2024-12-05 02:27:51,034]    INFO - Request: 'GET /api/v1/animes/ HTTP/1.1' 200 52 B 7.0 ms
[2024-12-05 02:27:51,160]    INFO - Request: 'GET /api/v1/animes/ebc54891-1b94-4c3e-b98f-1ac0e41060b1/ HTTP/1.1' 200 1793 B 23.1 ms
[2024-12-05 02:27:51,178]    INFO - Request: 'GET /api/v1/animes/989423d1-d6c0-431a-8f62-d805b8a5f321/ HTTP/1.1' 404 23 B 7.5 ms
[2024-12-05 02:27:51,179]    WARNING - Not Found: /api/v1/animes/989423d1-d6c0-431a-8f62-d805b8a5f321/
[2024-12-05 02:27:51,631]    INFO - Request: 'POST /api/v1/animes/ HTTP/1.1' 201 558 B 194.5 ms
[2024-12-05 02:27:51,794]    INFO - Request: 'POST /api/v1/animes/ HTTP/1.1' 403 63 B 1.0 ms
[2024-12-05 02:27:51,795]    WARNING - Forbidden: /api/v1/animes/
[2024-12-05 02:27:51,868]    INFO - Request: 'POST /api/v1/animes/ HTTP/1.1' 401 58 B 1.5 ms
[2024-12-05 02:27:51,870]    WARNING - Unauthorized: /api/v1/animes/
[2024-12-05 02:27:52,198]    INFO - Request: 'PUT /api/v1/animes/87a76b59-d25c-4a2a-b13b-26f4a2912a93/ HTTP/1.1' 200 945 B 76.8 ms
[2024-12-05 02:27:52,530]    INFO - Request: 'PATCH /api/v1/animes/d12bb1ad-a884-4d79-ab9b-b06e02df9505/ HTTP/1.1' 200 1090 B 94.0 ms
[2024-12-05 02:27:52,823]    INFO - Request: 'DELETE /api/v1/animes/5727215d-9396-45e9-adce-c1fa6636c842/ HTTP/1.1' 204 0 B 54.0 ms
[2024-12-05 02:27:53,261]    INFO - Request: 'GET /api/v1/animes/273cc1b7-11cd-4d68-921c-a8b293077089/characters/ HTTP/1.1' 200 183 B 38.2 ms
[2024-12-05 02:27:53,381]    INFO - Request: 'GET /api/v1/animes/b59e4bbc-4691-4657-bad8-8414c23529e6/characters/ HTTP/1.1' 404 48 B 9.5 ms
[2024-12-05 02:27:53,382]    WARNING - Not Found: /api/v1/animes/b59e4bbc-4691-4657-bad8-8414c23529e6/characters/
[2024-12-05 02:27:53,522]    INFO - Request: 'GET /api/v1/animes/281a668a-8bf8-4fab-b013-06ebbc442e9c/staff/ HTTP/1.1' 200 277 B 18.2 ms
[2024-12-05 02:27:53,639]    INFO - Request: 'GET /api/v1/animes/62f2a54e-88ca-47fb-a53c-ac1e7bee2b28/staff/ HTTP/1.1' 404 43 B 9.5 ms
[2024-12-05 02:27:53,640]    WARNING - Not Found: /api/v1/animes/62f2a54e-88ca-47fb-a53c-ac1e7bee2b28/staff/
[2024-12-05 02:27:53,759]    INFO - Request: 'GET /api/v1/animes/66c5e467-324e-423c-b613-89c2d0a97636/stats/ HTTP/1.1' 200 150 B 16.7 ms
[2024-12-05 02:27:53,777]    INFO - Request: 'GET /api/v1/animes/88bf5d4f-115b-4dea-a7c5-4fc45b794c9a/stats/ HTTP/1.1' 404 23 B 7.0 ms
[2024-12-05 02:27:53,778]    WARNING - Not Found: /api/v1/animes/88bf5d4f-115b-4dea-a7c5-4fc45b794c9a/stats/
[2024-12-05 02:27:54,042]    INFO - Request: 'GET /api/v1/animes/953b923f-6621-44bc-8eb9-c2e07bcbf7cf/reviews/ HTTP/1.1' 200 228 B 18.0 ms
[2024-12-05 02:27:54,517]    INFO - Request: 'POST /api/v1/animes/63518ba6-b9ab-4abc-983f-e0c48c459b79/reviews/create/ HTTP/1.1' 201 57 B 12.0 ms
[2024-12-05 02:27:54,787]    INFO - Request: 'PATCH /api/v1/animes/b6c24245-ec45-4fc0-ad3c-c5c8758b610f/reviews/e2ed7e77-ae42-4bc6-ab11-021a5f99e769/ HTTP/1.1' 200 57 B 14.7 ms
[2024-12-05 02:27:55,149]    INFO - Request: 'GET /api/v1/animes/2ad0e90f-bf1f-46f8-ba91-75b289e63027/recommendations/ HTTP/1.1' 200 1081 B 23.2 ms
